
---------- Begin Simulation Statistics ----------
simSeconds                                   1.162534                       # Number of seconds simulated (Second)
simTicks                                 1162533633669                       # Number of ticks simulated (Tick)
finalTick                                1162533633669                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7031.23                       # Real time elapsed on the host (Second)
hostTickRate                                165338614                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   33812320                       # Number of bytes of host memory used (Byte)
simInsts                                   2127725231                       # Number of instructions simulated (Count)
simOps                                     4003974619                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   302611                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     569456                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       3491091994                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.640763                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.609473                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      4557633856                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5467770                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     4402992689                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               13741285                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            559127001                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         949531288                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              227262                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3194967799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.378102                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.299484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2135416418     66.84%     66.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 153345453      4.80%     71.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 144424444      4.52%     76.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 128028298      4.01%     80.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 130182017      4.07%     84.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 163910873      5.13%     89.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 186049158      5.82%     95.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 108753031      3.40%     98.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  44858107      1.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3194967799                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               131767146     87.19%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   364      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      4      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   6446      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   1271      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    22      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     87.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     87.19% # attempts to use FU when none available (Count)
